datetime,aqi,pm10,pm25,o3,so2,no2,co,ts
2020-06-01/06:00,45.2,1.2161,0.500693,96.9529,1.61119,3.84336,330.031,1590991200
2020-06-01/05:00,46.4,1.07062,0.485084,99.9212,1.24052,4.73498,340.462,1590987600
2020-06-01/04:00,48.0,1.14995,0.732858,103.676,1.10641,5.75941,352.561,1590984000
2020-06-01/03:00,42.0,1.9874,1.44352,90.8375,0.650063,5.00167,340.044,1590980400
2020-06-01/02:00,39.0,2.31415,1.71935,84.7578,0.752509,3.67896,334.203,1590976800
2020-06-01/01:00,36.0,2.90612,2.06393,78.6781,0.941567,3.66825,330.031,1590973200
2020-06-01/00:00,29.0,4.01557,2.56038,63.7472,0.607222,4.8785,332.534,1590969600
2020-05-31/23:00,27.0,4.81058,2.90427,57.4887,0.623055,6.46897,337.124,1590966000
2020-05-31/22:00,27.0,5.8476,3.26099,57.4887,0.934117,8.00053,337.958,1590962400
2020-05-31/21:00,28.0,6.90397,3.5352,60.8861,1.47335,9.2322,335.872,1590958800
2020-05-31/20:00,31.0,7.11729,3.43929,67.4129,1.93715,9.67132,331.283,1590955200
2020-05-31/19:00,36.0,6.48217,3.04064,77.2476,2.29105,9.76771,325.859,1590951600
2020-05-31/18:00,40.0,5.38263,2.54137,86.993,2.46242,9.16794,320.017,1590948000
2020-05-31/17:00,44.0,4.23248,2.06424,95.3078,2.31713,7.48644,313.342,1590944400
2020-05-31/16:00,49.0,2.86176,1.51931,105.858,2.01911,4.17163,304.163,1590940800
2020-05-31/15:00,52.0,1.84212,1.17355,113.01,1.7155,1.50746,297.07,1590937200
2020-05-31/14:00,53.0,1.82782,1.21104,113.547,1.75834,1.27987,297.904,1590933600
2020-05-31/13:00,52.0,1.81176,1.23132,113.368,1.7751,1.19285,298.321,1590930000
2020-05-31/12:00,52.0,1.86595,1.25275,112.832,1.79932,1.22364,299.156,1590926400
2020-05-31/11:00,52.0,1.86478,1.25071,111.759,1.82167,1.30129,300.825,1590922800
2020-05-31/10:00,51.0,1.93663,1.27628,109.434,1.93715,1.51549,301.659,1590919200
2020-05-31/09:00,50.0,1.91748,1.23991,107.11,2.02656,1.88767,304.997,1590915600
2020-05-31/08:00,48.0,1.89738,1.21434,104.249,2.12714,2.33215,306.249,1590912000
2020-05-31/07:00,47.0,1.98387,1.31903,102.103,2.33576,2.84892,308.752,1590908400
2020-05-31/06:00,46.0,2.5276,1.67625,98.8841,2.67848,3.42727,311.255,1590904800
2020-05-31/05:00,46.0,2.38056,1.68199,99.0629,2.39536,3.11667,313.759,1590901200
2020-05-31/04:00,46.0,2.10784,1.59216,99.4205,1.98185,2.91853,315.011,1590897600
2020-05-31/03:00,46.0,1.86041,1.42385,99.5994,1.69501,2.76323,315.845,1590894000
2020-05-31/02:00,46.0,1.57421,1.15402,99.5994,1.43796,2.08849,316.679,1590890400
2020-05-31/01:00,47.0,1.09595,0.758075,100.851,1.18837,1.968,319.183,1590886800
2020-05-31/00:00,48.0,0.853688,0.557193,102.818,1.05239,1.92248,320.852,1590883200
2020-05-30/23:00,48.0,0.94063,0.596387,104.07,1.07102,2.02155,320.017,1590879600
2020-05-30/22:00,49.0,1.24978,0.74228,106.931,1.30944,2.22237,321.269,1590876000
2020-05-30/21:00,51.0,1.58889,0.84401,111.222,1.55345,2.34821,324.19,1590872400
2020-05-30/20:00,54.0,1.73374,0.816974,115.871,1.68197,2.42586,324.607,1590868800
2020-05-30/19:00,52.0,1.71177,0.789541,121.593,1.69687,2.50083,325.024,1590865200
2020-05-30/18:00,61.0,2.02644,0.995073,129.104,1.81049,2.69362,324.19,1590861600
2020-05-30/17:00,71.0,2.31681,1.27817,137.15,1.86823,2.64007,325.859,1590858000
2020-05-30/16:00,76.0,2.36647,1.40968,141.084,1.73971,2.27592,323.772,1590854400
2020-05-30/15:00,79.0,2.19908,1.4351,143.588,1.50315,1.63866,322.521,1590850800
2020-05-30/14:00,83.0,2.38684,1.67106,146.091,1.40816,1.26514,323.355,1590847200
2020-05-30/13:00,86.0,2.92444,2.19767,149.131,1.4361,1.08843,325.441,1590843600
2020-05-30/12:00,89.0,4.25781,3.29713,150.919,1.69501,1.15403,327.11,1590840000
2020-05-30/11:00,87.0,6.00793,4.69405,149.667,2.03028,1.38697,327.945,1590836400
2020-05-30/10:00,80.0,9.1562,6.94706,144.303,2.80142,2.31073,332.117,1590832800
2020-05-30/09:00,66.0,14.4034,10.2918,133.038,4.29899,4.81424,346.303,1590829200
2020-05-30/08:00,57.0,16.9921,11.8906,125.527,5.1111,6.89738,354.23,1590825600
2020-05-30/07:00,53.0,19.478,12.9864,114.799,5.804,9.1251,365.913,1590822000
2020-05-30/06:00,43.0,18.4356,10.2569,49.3526,2.5183,12.9594,408.053,1590818400
2020-05-30/05:00,42.0,18.3621,10.2125,43.5412,1.07102,12.638,409.722,1590814800
2020-05-30/04:00,43.0,18.721,10.2659,40.0543,0.43679,13.7733,413.477,1590811200
2020-05-30/03:00,44.0,19.7676,10.4978,35.0028,0.339001,16.2581,421.822,1590807600
2020-05-30/02:00,45.0,21.5292,10.9353,30.7113,0.366475,18.1645,429.749,1590804000
2020-05-30/01:00,48.0,24.0685,11.5829,29.3702,0.81677,22.8342,439.763,1590800400
2020-05-30/00:00,50.0,26.4205,12.0141,29.8619,2.67476,28.1036,446.439,1590796800
2020-05-29/23:00,49.0,27.0049,11.7545,33.0359,4.35859,32.2163,448.108,1590793200
2020-05-29/22:00,46.0,26.4811,11.1725,39.4285,5.7891,35.5579,445.604,1590789600
2020-05-29/21:00,43.0,24.7837,10.2754,48.1904,6.72042,35.9863,437.26,1590786000
2020-05-29/20:00,38.0,21.9735,9.08047,58.4722,6.78003,35.001,426.412,1590782400
2020-05-29/19:00,32.0,18.3705,7.73305,69.9162,5.98282,33.5444,413.895,1590778800
2020-05-29/18:00,39.0,14.5289,6.37978,83.9531,4.4778,29.3031,399.292,1590775200
2020-05-29/17:00,48.0,10.8685,5.0477,104.606,3.58,21.9774,380.933,1590771600
2020-05-29/16:00,65.0,7.25513,3.61351,132.322,4.00841,11.7598,355.482,1590768000
2020-05-29/15:00,91.0,4.71567,2.51833,153.065,4.94719,3.66825,334.62,1590764400
2020-05-29/14:00,89.0,4.07327,2.23973,151.455,4.65661,3.11132,335.455,1590760800
2020-05-29/13:00,86.0,3.70582,2.1233,148.416,4.72367,3.28268,340.044,1590757200
2020-05-29/12:00,79.0,3.81522,2.26181,143.051,5.08875,4.10201,344.217,1590753600
2020-05-29/11:00,71.0,4.04083,2.25273,136.971,5.40167,5.08735,344.634,1590750000
2020-05-29/10:00,65.0,4.58749,2.22996,131.607,5.66244,6.17979,344.217,1590746400
2020-05-29/09:00,60.0,5.57304,2.56619,127.852,5.8189,7.22939,346.72,1590742800
2020-05-29/08:00,53.0,6.45825,2.94642,122.309,5.69969,7.94698,344.217,1590739200
